what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1356638436946
error,log,,,"Error fetching actionscript project for myFriends",1356638436979
error,log,,,"Error fetching actionscript project for myFriends",1356638436996
error,log,,,"Error fetching actionscript project for myFriends",1356638437013
error,log,,,"Error fetching actionscript project for myFriends",1356638437031
error,log,,,"Error fetching actionscript project for myFriends",1356638437048
error,log,,,"Error fetching actionscript project for myFriends",1356638437065
error,log,,,"Error fetching actionscript project for myFriends",1356638437272
error,log,,,"Error fetching actionscript project for myFriends",1356638437289
error,log,,,"Error fetching actionscript project for myFriends",1356638437307
error,log,,,"Error fetching actionscript project for myFriends",1356638437325
error,log,,,"Error fetching actionscript project for myFriends",1356638437342
error,log,,,"Error fetching actionscript project for myFriends",1356638437360
error,log,,,"Error fetching actionscript project for myFriends",1356638437455
error,log,,,"Unhandled event loop exception",1356638437767
error,log,,,"Error fetching actionscript project for myFriends",1356638437847
error,log,,,"Error fetching actionscript project for myFriends",1356638437874
error,log,,,"Error fetching actionscript project for myFriends",1356638437895
error,log,,,"Error fetching actionscript project for myFriends",1356638437920
error,log,,,"Error fetching actionscript project for myFriends",1356638437941
error,log,,,"Error fetching actionscript project for myFriends",1356638438760
error,log,,,"Error fetching actionscript project for myFriends",1356638438781
error,log,,,"Error fetching actionscript project for myFriends",1356638438802
error,log,,,"Error fetching actionscript project for myFriends",1356638438856
error,log,,,"Error fetching actionscript project for myFriends",1356638438873
error,log,,,"Error fetching actionscript project for myFriends",1356638438903
error,log,,,"Error fetching actionscript project for myFriends",1356638438921
error,log,,,"Error fetching actionscript project for myFriends",1356638438941
error,log,,,"Error fetching actionscript project for myFriends",1356638438959
error,log,,,"Error fetching actionscript project for myFriends",1356638438988
error,log,,,"Error fetching actionscript project for myFriends",1356638439005
error,log,,,"Error fetching actionscript project for myFriends",1356638439022
error,log,,,"Error fetching actionscript project for myFriends",1356638439039
error,log,,,"Error fetching actionscript project for myFriends",1356638439057
error,log,,,"Error fetching actionscript project for myFriends",1356638439074
error,log,,,"Error fetching actionscript project for myFriends",1356638439439
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1356638439468
error,log,,,"Error fetching actionscript project for myFriends",1356638439492
error,log,,,"Error fetching actionscript project for myFriends",1356638439510
error,log,,,"Error fetching actionscript project for myFriends",1356638439528
error,log,,,"Error fetching actionscript project for myFriends",1356638439545
error,log,,,"Error fetching actionscript project for myFriends",1356638439563
error,log,,,"Error fetching actionscript project for myFriends",1356638439581
error,log,,,"Error fetching actionscript project for myFriends",1356638439598
error,log,,,"Error fetching actionscript project for myFriends",1356638439615
error,log,,,"Error fetching actionscript project for myFriends",1356638439632
error,log,,,"Error fetching actionscript project for myFriends",1356638439649
error,log,,,"Error fetching actionscript project for myFriends",1356638439666
error,log,,,"Error fetching actionscript project for myFriends",1356638439683
error,log,,,"Error fetching actionscript project for myFriends",1356638440118
error,log,,,"Error fetching actionscript project for myFriends",1356638440138
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1356638440139
error,log,,,"Unhandled event loop exception",1356638440152
error,log,,,"Error fetching actionscript project for myFriends",1356638440173
error,log,,,"Error fetching actionscript project for myFriends",1356638440193
error,log,,,"Error fetching actionscript project for myFriends",1356638440210
error,log,,,"Error fetching actionscript project for myFriends",1356638440227
error,log,,,"Error fetching actionscript project for myFriends",1356638440245
error,log,,,"Error fetching actionscript project for myFriends",1356638440263
error,log,,,"Error fetching actionscript project for myFriends",1356638440280
error,log,,,"Error fetching actionscript project for myFriends",1356638440371
error,log,,,"Error fetching actionscript project for myFriends",1356638440397
error,log,,,"Error fetching actionscript project for myFriends",1356638440416
error,log,,,"Error fetching actionscript project for myFriends",1356638440446
error,log,,,"Error fetching actionscript project for myFriends",1356638440464
error,log,,,"Error fetching actionscript project for myFriends",1356638440481
error,log,,,"Unhandled event loop exception",1356638440834
error,log,,,"Error fetching actionscript project for myFriends",1356638440947
error,log,,,"Error fetching actionscript project for myFriends",1356638440975
error,log,,,"Error fetching actionscript project for myFriends",1356638440995
error,log,,,"Error fetching actionscript project for myFriends",1356638441020
error,log,,,"Error fetching actionscript project for myFriends",1356638441040
error,log,,,"Error fetching actionscript project for myFriends",1356638441063
error,log,,,"Error fetching actionscript project for myFriends",1356638441086
error,log,,,"Error fetching actionscript project for myFriends",1356638441106
error,log,,,"Error fetching actionscript project for myFriends",1356638441131
error,log,,,"Error fetching actionscript project for myFriends",1356638441151
error,log,,,"Error fetching actionscript project for myFriends",1356638441173
error,log,,,"Error fetching actionscript project for myFriends",1356638441191
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1356638441193
error,log,,,"Error fetching actionscript project for myFriends",1356638441220
error,log,,,"Error fetching actionscript project for myFriends",1356638441237
error,log,,,"Error fetching actionscript project for myFriends",1356638441254
error,log,,,"Error fetching actionscript project for myFriends",1356638441272
error,log,,,"Error fetching actionscript project for myFriends",1356638441289
error,log,,,"Error fetching actionscript project for myFriends",1356638441307
error,log,,,"Error fetching actionscript project for myFriends",1356638441324
error,log,,,"Error fetching actionscript project for myFriends",1356638441342
error,log,,,"Error fetching actionscript project for myFriends",1356638441358
error,log,,,"Error fetching actionscript project for myFriends",1356638441375
error,log,,,"Error fetching actionscript project for myFriends",1356638441392
error,log,,,"Error fetching actionscript project for myFriends",1356638441455
error,log,,,"Error fetching actionscript project for myFriends",1356638441485
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1356638441516
error,log,,,"Error fetching actionscript project for myFriends",1356638441535
error,log,,,"Error fetching actionscript project for myFriends",1356638441552
error,log,,,"Error fetching actionscript project for myFriends",1356638441570
error,log,,,"Error fetching actionscript project for myFriends",1356638441588
error,log,,,"Error fetching actionscript project for myFriends",1356638441605
error,log,,,"Error fetching actionscript project for myFriends",1356638441623
error,log,,,"Error fetching actionscript project for myFriends",1356638441674
error,log,,,"Error fetching actionscript project for myFriends",1356638441695
error,log,,,"Error fetching actionscript project for myFriends",1356638441715
error,log,,,"Unhandled event loop exception",1356638442228
error,log,,,"Error fetching actionscript project for myFriends",1356638442262
error,log,,,"Error fetching actionscript project for myFriends",1356638442302
error,log,,,"Error fetching actionscript project for myFriends",1356638442324
error,log,,,"Error fetching actionscript project for myFriends",1356638442351
error,log,,,"Error fetching actionscript project for myFriends",1356638442371
error,log,,,"Error fetching actionscript project for myFriends",1356638442487
error,log,,,"Error fetching actionscript project for myFriends",1356638442510
error,log,,,"Error fetching actionscript project for myFriends",1356638442529
executed,command,com.adobe.flexbuilder.editorcore,4.7.0.349722,"com.adobe.flexide.editorcore.smart.home",1356638442530
error,log,,,"Error fetching actionscript project for myFriends",1356638442548
error,log,,,"Error fetching actionscript project for myFriends",1356638442565
error,log,,,"Error fetching actionscript project for myFriends",1356638442582
error,log,,,"Error fetching actionscript project for myFriends",1356638442599
error,log,,,"Error fetching actionscript project for myFriends",1356638442616
error,log,,,"Error fetching actionscript project for myFriends",1356638442634
error,log,,,"Error fetching actionscript project for myFriends",1356638443038
error,log,,,"Error fetching actionscript project for myFriends",1356638443060
error,log,,,"Error fetching actionscript project for myFriends",1356638443077
error,log,,,"Error fetching actionscript project for myFriends",1356638443095
error,log,,,"Error fetching actionscript project for myFriends",1356638443112
error,log,,,"Error fetching actionscript project for myFriends",1356638443129
error,log,,,"Error fetching actionscript project for myFriends",1356638443282
error,log,,,"Error fetching actionscript project for myFriends",1356638443303
error,log,,,"Error fetching actionscript project for myFriends",1356638443324
